postgres=# select equal, count(*) from my_table group by 1;
 equal | count
-------+--------
     0 | 250256
     1 | 250298
     2 | 249939
     3 | 249690
     4 | 249516
     5 | 250255
     6 | 248943
     7 | 248491
     8 | 250792
     9 | 249565
    10 | 250845
    11 | 250921
    12 | 250753
    13 | 250296
    14 | 249936
    15 | 250268
    16 | 249903
    17 | 249630
    18 | 249676
    19 | 250480
    20 | 249528
    21 | 250152
    22 | 249739
    23 | 250052
    24 | 250296
    25 | 249463
    26 | 249878
    27 | 250574
    28 | 249842
    29 | 250034
    30 | 249744
    31 | 249684
    32 | 249586
    33 | 249837
    34 | 249264
    35 | 250328
    36 | 248783
    37 | 250530
    38 | 250506
    39 | 249694
    40 | 250603
    41 | 250418
    42 | 250864
    43 | 249996
    44 | 249870
    45 | 250140
    46 | 249702
    47 | 249323
    48 | 250278
    49 | 250457
    50 | 250318
    51 | 250550
    52 | 249316
    53 | 249864
    54 | 251483
    55 | 250743
    56 | 250150
    57 | 249841
    58 | 249950
    59 | 250169
    60 | 250112
    61 | 250139
    62 | 250066
    63 | 249756
    64 | 249072
    65 | 250320
    66 | 249898
    67 | 250117
    68 | 250199
    69 | 249910
    70 | 249698
    71 | 248998
    72 | 249712
    73 | 250418
    74 | 250390
    75 | 249791
    76 | 249404
    77 | 249773
    78 | 249733
    79 | 250791
    80 | 249927
    81 | 249197
    82 | 249789
    83 | 250671
    84 | 250132
    85 | 249650
    86 | 250048
    87 | 249891
    88 | 250295
    89 | 249568
    90 | 249752
    91 | 249805
    92 | 249494
    93 | 248684
    94 | 249863
    95 | 250522
    96 | 250726
    97 | 250487
    98 | 250640
    99 | 250560
(100 rows)
