postgres=# select equal, count(*) from paper.my_table group by 1;
 equal | count
-------+-------
     1 | 20170
     2 | 20099
     3 | 20540
     4 | 20153
     5 | 20191
     6 | 20349
     7 | 20201
     8 | 20397
     9 | 20377
    10 | 20158
    11 | 20571
    12 | 20623
    13 | 20336
    14 | 20185
    15 | 20236
    16 | 20223
    17 | 20509
    18 | 20448
    19 | 20116
    20 | 20442
    21 | 20025
    22 | 20237
    23 | 20614
    24 | 20383
    25 | 20601
    26 | 20223
    27 | 20264
    28 | 20195
    29 | 20327
    30 | 20226
    31 | 20313
    32 | 20106
    33 | 20112
    34 | 20487
    35 | 20127
    36 | 20329
    37 | 20271
    38 | 20363
    39 | 20303
    40 | 20191
    41 | 20394
    42 | 20454
    43 | 20401
    44 | 20423
    45 | 20033
    46 | 20194
    47 | 20249
    48 | 20216
    49 | 20258
    50 | 20201
    51 | 20287
    52 | 20318
    53 | 20162
    54 | 20433
    55 | 20324
    56 | 20485
    57 | 20582
    58 | 20380
    59 | 20417
    60 | 20339
    61 | 20186
    62 | 20329
    63 | 20350
    64 | 20539
    65 | 20274
    66 | 20226
    67 | 20171
    68 | 20239
    69 | 20210
    70 | 20378
    71 | 20371
    72 | 20215
    73 | 20237
    74 | 20115
    75 | 20237
    76 | 20076
    77 | 20093
    78 | 20496
    79 | 20330
    80 | 20449
    81 | 20640
    82 | 20181
    83 | 20107
    84 | 20205
    85 | 20481
    86 | 20373
    87 | 20045
    88 | 20363
    89 | 20290
    90 | 20145
    91 | 20346
    92 | 20228
    93 | 20273
    94 | 20186
    95 | 20338
    96 | 20257
    97 | 20406
    98 | 20364
    99 | 20410
   100 | 20267
(100 rows)
