postgres=# select equal, count(*) from my_table group by 1;
 equal | count
-------+-------
     0 |  9972
     1 | 10030
     2 | 10039
     3 |  9878
     4 | 10041
     5 |  9925
     6 |  9939
     7 |  9980
     8 |  9926
     9 | 10052
    10 |  9889
    11 |  9975
    12 |  9884
    13 | 10191
    14 | 10182
    15 | 10058
    16 | 10018
    17 | 10048
    18 |  9970
    19 | 10003
    20 | 10133
    21 |  9816
    22 | 10062
    23 |  9970
    24 | 10045
    25 | 10137
    26 |  9920
    27 |  9860
    28 |  9882
    29 | 10054
    30 |  9930
    31 |  9970
    32 |  9933
    33 |  9838
    34 |  9797
    35 | 10053
    36 |  9959
    37 |  9789
    38 | 10064
    39 | 10162
    40 |  9920
    41 | 10095
    42 | 10136
    43 |  9974
    44 |  9839
    45 |  9983
    46 | 10029
    47 | 10007
    48 |  9967
    49 | 10122
    50 |  9931
    51 | 10028
    52 | 10100
    53 | 10113
    54 | 10119
    55 | 10027
    56 | 10009
    57 | 10070
    58 |  9997
    59 |  9958
    60 |  9997
    61 |  9855
    62 |  9992
    63 |  9779
    64 | 10004
    65 |  9913
    66 | 10060
    67 |  9965
    68 | 10036
    69 |  9988
    70 | 10072
    71 | 10020
    72 |  9904
    73 | 10085
    74 | 10221
    75 | 10118
    76 |  9829
    77 | 10150
    78 |  9918
    79 |  9874
    80 |  9985
    81 | 10032
    82 |  9837
    83 |  9928
    84 |  9775
    85 |  9917
    86 |  9995
    87 | 10222
    88 | 10230
    89 | 10065
    90 | 10081
    91 | 10119
    92 | 10122
    93 |  9881
    94 | 10153
    95 |  9984
    96 | 10061
    97 | 10109
    98 |  9959
    99 |  9967
(100 rows)

